doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,782,786,Thun,Q79181,PER,Q12032976,Leopold Felix Thun-Hohenstein,"```json {""wikipedia_page"":""Leopold Felix Thun-Hohenstein"", ""wikidata_id"":""Q12032976""} ```",14.296533584594727
hidden_test_de_1_sent2,1417,1421,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",15.099220275878906
hidden_test_de_1_sent2,1683,1688,"Thun,",Q79181,PER,Q17455104,Maximilian Graf von Thun und Hohenstein,"```json {""wikipedia_page"":""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"":""Q17455104""} ```",11.032081604003906
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,Q882305,Vereinigte Linke,,0
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,Q75186,Paul Verner,,0
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q2647610,Yuval Zellner,,0
hidden_test_de_1_sent5,876,880,Thun,Q79181,PER,Q635917,Thun und Hohenstein,"```json {""wikipedia_page"": ""Thun und Hohenstein"", ""wikidata_id"": ""Q635917""} ```",15.647997856140137
hidden_test_de_1_sent6,36,40,Thun,Q79181,PER,Q635917,Thun und Hohenstein,"```json {""wikipedia_page"":""Thun und Hohenstein"", ""wikidata_id"":""Q635917""} ```",17.590436935424805
hidden_test_de_1_sent6,133,148,MariePospischil,NIL,PER,Q12035450,Maria Pospischil,,0
hidden_test_de_1_sent6,222,226,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",18.47062110900879
hidden_test_de_1_sent6,330,334,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",16.569765090942383
hidden_test_de_1_sent6,450,459,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,0
hidden_test_de_1_sent6,571,580,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,0
hidden_test_de_1_sent6,627,631,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",17.691675186157227
hidden_test_de_1_sent6,683,687,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",16.370220184326172
hidden_test_de_1_sent6,807,816,Kramarsch,NIL,PER,Q159227,Karel Kramář,"```json { ""wikipedia_page"": ""Karel Kramář"", ""wikidata_id"": ""Q159227"" } ```",18.263418197631836
hidden_test_de_1_sent6,922,926,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",17.720199584960938
hidden_test_de_1_sent6,1166,1170,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",16.203718185424805
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,Q10277579,Ryoichi Kano,,0
hidden_test_de_1_sent10,368,376,Gaißmayr,NIL,PER,Q700953,Gaißau,"```json {""wikipedia_page"":""Gaißau"", ""wikidata_id"":""Q700953""} ```",11.728081703186035
hidden_test_de_1_sent12,300,307,Golling,NIL,LOC,Q527800,Golling an der Salzach,"```json { ""wikipedia_page"": ""Golling an der Salzach"", ""wikidata_id"": ""Q527800"" } ```",15.994821548461914
hidden_test_de_1_sent12,322,335,Thomas Reustl,NIL,PER,Q15732658,Thomas Rüst,"```json { ""wikipedia_page"": ""Thomas Rüst"", ""wikidata_id"": ""Q15732658"" } ```",17.113454818725586
hidden_test_de_1_sent12,539,547,Radstatt,Q260950,LOC,NIL,Radstatt,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_de_1_sent12,710,725,Dietrichstein's,NIL,PER,Q688530,Dietrichstein,"```json {""wikipedia_page"": ""Dietrichstein"", ""wikidata_id"": ""Q688530""} ```",15.001810073852539
hidden_test_de_1_sent13,4,12,Radstatt,Q260950,LOC,NIL,Radstatt,"```json { ""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL"" } ```",0
hidden_test_de_1_sent13,22,28,Reustl,NIL,PER,Q80822636,Dorfkirche Reust,"```json {""wikipedia_page"":""Dorfkirche Reust"", ""wikidata_id"":""Q80822636""} ```",5.0889692306518555
hidden_test_de_1_sent13,184,194,Schladming,Q254221,LOC,Q15725561,Schladminger Bauern- und Knappenaufstand,"```json {""wikipedia_page"":""Schladminger Bauern- und Knappenaufstand"", ""wikidata_id"":""Q15725561""} ```",13.971538543701172
hidden_test_de_1_sent14,263,280,Nikolaus von Salm,Q26486738,PER,Q77787,Niklas Graf Salm der Ältere,,0
hidden_test_de_1_sent15,110,127,"„Obersteierblatt""",NIL,PROD,Q218612,Zollern-Alb-Kurier,,0
hidden_test_de_1_sent15,207,218,Kielmansegg,NIL,PER,Q7526947,Ministerium Kielmansegg,"```json {""wikipedia_page"":""Ministerium Kielmansegg"", ""wikidata_id"":""Q7526947""} ```",17.192413330078125
hidden_test_de_1_sent15,1599,1612,Liechtenstein,Q78567,PER,NIL,Liechtenstein,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
hidden_test_de_1_sent15,1616,1625,Liberalen,NIL,ORG,Q6216,Liberalismus,"```json {""wikipedia_page"":""Liberalismus"", ""wikidata_id"":""Q6216""} ```",17.86077117919922
hidden_test_de_1_sent73,0,6,London,NIL,LOC,Q84,London,"```json {""wikipedia_page"":""London"", ""wikidata_id"":""Q84""} ```",13.057632446289062
hidden_test_de_1_sent75,1,6,Paris,NIL,LOC,Q90,Paris,"```json { ""wikipedia_page"": ""Paris"", ""wikidata_id"": ""Q90"" } ```",15.2584810256958
hidden_test_de_1_sent87,15,19,Wien,NIL,LOC,Q1741,Wien,,0
hidden_test_de_1_sent91,15,25,Josefstadt,NIL,LOC,Q256778,Josefstadt,,0
hidden_test_de_1_sent92,16,27,Rudolfsheim,NIL,LOC,Q2174345,Rudolfsheim,,0
hidden_test_de_1_sent96,27,34,Amerika,NIL,LOC,Q828,Amerika,"```json {""wikipedia_page"":""Amerika"", ""wikidata_id"":""Q828""} ```",18.806991577148438
hidden_test_de_1_sent97,38,51,Bruno Zappert,NIL,PER,Q31794012,Bruno Zappert,,0
hidden_test_de_1_sent100,0,20,Aron MandelblühSarah,NIL,PER,Q64030672,,,0
hidden_test_de_1_sent100,32,59,Wenzel PawlizekCarl Schauer,NIL,PER,Q3168715,Jean-Paul Wenzel,,0
hidden_test_de_1_sent100,61,72,Mitzi Bardi,NIL,PER,Q18025001,Marie Bardi,,0
hidden_test_de_1_sent102,0,13,Jos. Paulmann,NIL,PER,Q1698128,Johannes Paulmann,,0
hidden_test_de_1_sent103,0,14,Franz Graselli,NIL,PER,Q2001370,Francesco Raselli,,0
hidden_test_de_1_sent104,22,35,Gisela Magnus,NIL,PER,Q24050604,Gisela Graselli-Magnus,"```json {""wikipedia_page"":""Gisela Graselli-Magnus"", ""wikidata_id"":""Q24050604""} ```",18.883583068847656
hidden_test_de_1_sent106,20,31,Kathi Krenn,NIL,PER,Q1735925,Katharina Kern,,0
hidden_test_de_1_sent107,0,4,Sali,NIL,PER,Q2757170,Sali,,0
hidden_test_de_1_sent107,6,16,Ella Carlé,NIL,PER,Q5364562,Ella Schuler,,0
hidden_test_de_1_sent108,0,5,Kathi,NIL,PER,Q1561114,Kathy,"```json {""wikipedia_page"":""Kathy"", ""wikidata_id"":""Q1561114""} ```",17.109041213989258
hidden_test_de_1_sent108,7,19,Elsa Wernier,NIL,PER,Q453545,Els Aarne,,0
hidden_test_de_1_sent112,0,5,Jenny,NIL,PER,Q3807899,Jenny,"```json {""wikipedia_page"":""Jenny"", ""wikidata_id"":""Q3807899""} ```",16.12657928466797
hidden_test_de_1_sent112,21,30,Mitzi Bär,NIL,PER,Q23953,Maria Bard,,0
hidden_test_de_1_sent113,0,4,Emmy,NIL,PER,Q60763,Emmy Göring,"```json {""wikipedia_page"":""Emmy Göring"", ""wikidata_id"":""Q60763""} ```",15.922800064086914
hidden_test_de_1_sent113,6,16,Lina Stöhr,NIL,PER,Q16596498,Martina Stöhr,,0
hidden_test_de_1_sent114,0,4,Mary,NIL,PER,Q734578,Mary,"```json { ""wikipedia_page"": ""Mary"", ""wikidata_id"": ""Q734578"" } ```",14.747163772583008
hidden_test_de_1_sent114,6,18,Mitzi Theser,NIL,PER,Q47460506,Mitzi Tesar,,0
hidden_test_de_1_sent115,54,66,Gustav Marik,NIL,PER,Q78511,Gustav Meyrink,,0
hidden_test_de_1_sent116,7,18,Josef Frank,NIL,PER,Q1212284,Josef Frank,,0
