doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_fi_1,valta-kunnanduuman,102,120,ORG,Q844793
hidden_test_fi_1,Roosevelt,617,626,PER,Q33866
hidden_test_fi_1,Venäjällä,638,647,LOC,Q34266
hidden_test_fi_1,Poincaré,851,859,PER,Q191974
hidden_test_fi_1,Ranskan,1005,1012,LOC,Q70802
hidden_test_fi_1,Pietarissa,1367,1377,LOC,Q656
hidden_test_fi_1,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,1407,1462,PER,NIL
hidden_test_fi_1,Rooseveltin,1589,1600,PER,Q33866
hidden_test_fi_1,Rooseveltia,1647,1658,PER,Q33866
hidden_test_fi_1,Englannissa,1682,1693,LOC,Q21
hidden_test_fi_1,Saksassa,1694,1702,LOC,Q43287
hidden_test_fi_1,Venäjällä,1706,1715,LOC,Q34266
hidden_test_fi_1,San Franciscon,1725,1739,LOC,NIL
hidden_test_fi_1,Roosevelt,1759,1768,PER,Q33866
hidden_test_fi_1,Yhdysvaltain „Kupari-alueen“,1839,1867,LOC,Q387163
hidden_test_fi_1,We-stern Federation of Miners,2048,2077,ORG,Q7987830
hidden_test_fi_1,Kuparialueella,2097,2111,LOC,Q387163
hidden_test_fi_1,Calumet & Heclan,2395,2411,ORG,Q5024102
hidden_test_fi_1,Saksi-Weimarin,2869,2883,LOC,Q315667
hidden_test_fi_1,Saksi-Weimarinprinsessa Sofia,2960,2989,PER,Q7244832
hidden_test_fi_1,berliniläisen Bleichröder-nimisen finanssimiehen,3239,3287,PER,Q55848545
hidden_test_fi_1,Bleichröderin,3490,3503,PER,Q55848545
hidden_test_fi_1,Berlinistä,3650,3660,LOC,Q64
hidden_test_fi_1,Na-tionalzeitung,3676,3692,PROD,NIL
hidden_test_fi_1,Saksi-Weimarin prinsessa Sofia,3707,3737,PER,Q7244832
hidden_test_fi_1,miljonääri Hans vonBleichröderin,4380,4412,PER,Q55848545
hidden_test_fi_1,Poincaré,4910,4918,PER,Q191974
hidden_test_fi_2,Arvopaperipörssi,46,62,ORG,Q581755
hidden_test_fi_2,Pörssikomitean,83,97,ORG,NIL
hidden_test_fi_2,arvopaperipörssi,132,148,ORG,Q581755
hidden_test_fi_2,arvo-paperipörssiä,183,201,ORG,NIL
