doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,47,59,Buonaparte's,Q517,PER,Q7726,Joseph Bonaparte,"```json {""wikipedia_page"":""Joseph Bonaparte"", ""wikidata_id"":""Q7726""} ```",11.947212219238281
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,Q12548,Heiliges Römisches Reich Deutscher Nation,"```json {""wikipedia_page"":""Heiliges Römisches Reich Deutscher Nation"", ""wikidata_id"":""Q12548""} ```",13.388664245605469
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,Q35,Dänemark,"```json {""wikipedia_page"":""Dänemark"", ""wikidata_id"":""Q35""} ```",12.746357917785645
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,Q186096,Zarentum Russland,"```json { ""wikipedia_page"": ""Zarentum Russland"", ""wikidata_id"": ""Q186096"" } ```",17.878433227539062
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,Q34266,Russisches Kaiserreich,"```json {""wikipedia_page"":""Russisches Kaiserreich"", ""wikidata_id"":""Q34266""} ```",19.418861389160156
NZZ-1808-04-29-a-p0002,790,808,General Hutchinson,Q321765,PER,Q1892842,Thomas Hutchinson,"```json {""wikipedia_page"":""Thomas Hutchinson"", ""wikidata_id"":""Q1892842""} ```",16.24713706970215
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,NIL,General Hutchinson,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,Q179876,Königreich England,"```json {""wikipedia_page"": ""Königreich England"", ""wikidata_id"": ""Q179876""} ```",17.387208938598633
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,Q459235,Johann Christoph von Bartenstein,"```json { ""wikipedia_page"": ""Johann Christoph von Bartenstein"", ""wikidata_id"": ""Q459235"" } ```",10.211258888244629
NZZ-1808-04-29-a-p0002,1562,1570,Dänemark,Q35,LOC,Q756617,Königreich Dänemark,"```json {""wikipedia_page"":""Königreich Dänemark"", ""wikidata_id"":""Q756617""} ```",16.813079833984375
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,Q336200,"John Leveson-Gower, 1. Earl Gower","```json {""wikipedia_page"":""John Leveson-Gower, 1. Earl Gower"", ""wikidata_id"":""Q336200""} ```",18.531835556030273
